level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2000	2214	-1	
2	1	1	0	0	0	1849	323	45	414	-1	
3	1	1	1	0	0	1849	323	46	414	-1	
4	1	1	1	1	0	1871	411	23	326	-1	
5	1	1	1	1	1	1871	411	23	17	11.123650	il
5	1	1	1	1	2	1875	719	3	18	89.404602	=
4	1	1	1	2	0	1849	323	32	359	-1	
5	1	1	1	2	1	1851	323	20	57	8.636360	(en
5	1	1	1	2	2	1849	418	26	26	14.219910	Le
5	1	1	1	2	3	1853	465	19	30	25.164215	ot
5	1	1	1	2	4	1849	496	32	232	0.000000	aceon
2	1	2	0	0	0	1822	256	44	481	-1	
3	1	2	1	0	0	1822	256	44	481	-1	
4	1	2	1	1	0	1822	256	44	481	-1	
5	1	2	1	1	1	1826	256	26	151	33.467415	i
5	1	2	1	1	2	1822	407	44	205	21.390747	a
5	1	2	1	1	3	1824	627	40	66	47.906040	=
5	1	2	1	1	4	1848	730	5	7	0.000000	“
2	1	3	0	0	0	1820	2	37	327	-1	
3	1	3	1	0	0	1820	2	37	327	-1	
4	1	3	1	1	0	1825	260	32	64	-1	
5	1	3	1	1	1	1825	260	32	64	34.382996	eam,
4	1	3	1	2	0	1820	2	24	327	-1	
5	1	3	1	2	1	1824	2	10	14	20.615829	1A
5	1	3	1	2	2	1816	52	33	42	0.000000	merch
5	1	3	1	2	3	1820	92	24	179	0.000000	ommsananemanenes
5	1	3	1	2	4	1816	214	33	53	26.481995	sees
2	1	4	0	0	0	1316	1000	496	3	-1	
3	1	4	1	0	0	1316	1000	496	3	-1	
4	1	4	1	1	0	1316	1000	496	3	-1	
5	1	4	1	1	1	1316	1000	496	3	95.000000	 
2	1	5	0	0	0	1270	947	468	5	-1	
3	1	5	1	0	0	1270	947	468	5	-1	
4	1	5	1	1	0	1270	947	468	5	-1	
5	1	5	1	1	1	1270	947	468	5	95.000000	 
2	1	6	0	0	0	1273	322	332	6	-1	
3	1	6	1	0	0	1273	322	332	6	-1	
4	1	6	1	1	0	1273	322	332	6	-1	
5	1	6	1	1	1	1273	322	332	6	95.000000	 
2	1	7	0	0	0	1241	1580	630	11	-1	
3	1	7	1	0	0	1241	1580	630	11	-1	
4	1	7	1	1	0	1241	1580	630	11	-1	
5	1	7	1	1	1	1241	1580	630	11	95.000000	 
